dong_code,dong_name
11650620,방배3동
11650621,방배4동
11650651,양재1동
11650652,양재2동
11650660,내곡동
11680510,신사동
11680521,논현1동
11680531,논현2동
11680545,압구정동
11680565,청담동
11680580,삼성1동
11680590,삼성2동
11680600,대치1동
11680610,대치2동
11680630,대치4동
11680640,역삼1동
11680650,역삼2동
11680655,도곡1동
11680656,도곡2동
11680660,개포1동
11680670,개포2동
11680690,개포4동
11680700,세곡동
11680720,일원본동
11680730,일원1동
11680740,일원2동
11680750,수서동
11710510,풍납1동
11710520,풍납2동
11710531,거여1동
11710532,거여2동
11710540,마천1동
11710550,마천2동
11710561,방이1동
11710562,방이2동
11710566,오륜동
11710570,오금동
11710580,송파1동
11710590,송파2동
11710600,석촌동
11710610,삼전동
11710620,가락본동
11710631,가락1동
11710632,가락2동
11710641,문정1동
11710642,문정2동
11710646,장지동
11710647,위례동
11710650,잠실본동
11710670,잠실2동
11710680,잠실3동
11710690,잠실4동
11710710,잠실6동
11710720,잠실7동
11740515,강일동
11740520,상일동
11740530,명일1동
11740540,명일2동
11740550,고덕1동
11740560,고덕2동
11740570,암사1동
11740580,암사2동
11740590,암사3동
11740600,천호1동
11740610,천호2동
11740620,천호3동
11740640,성내1동
11740650,성내2동
11740660,성내3동
11740685,길동
11740690,둔촌1동
11740700,둔촌2동
